"city","district","statetin","pincode","created_at","updated_at"
"Diglipur","North And Middle Andaman",35,744202,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Carnicobar","Nicobar",35,744303,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Nancowrie","Nicobar",35,744303,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Mayabander","North And Middle Andaman",35,744204,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518004,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518002,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518002,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518001,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518003,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518002,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518004,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518002,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518004,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518006,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518302,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Adoni","Kurnool",37,518301,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Adoni","Kurnool",37,518301,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Adoni","Kurnool",37,518301,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Adoni","Kurnool",37,518301,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518395,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518347,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518348,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518333,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518346,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518308,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518350,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518344,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518385,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518345,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518343,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518396,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Pattikonda","Kurnool",37,518380,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518323,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518390,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518360,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Adoni","Kurnool",37,518360,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518533,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518313,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518422,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518462,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518599,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518432,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518206,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518465,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518222,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518222,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518225,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518508,"2018-06-30 22:47:43","2018-06-30 22:47:43"
