"city","district","statetin","pincode","created_at","updated_at"
"Proddatur","Cuddapah",37,516361,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Jammalamadugu","Cuddapah",37,516434,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Proddatur","Cuddapah",37,516355,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Yerraguntla","Cuddapah",37,516311,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Yerraguntla","Cuddapah",37,516312,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"NA","Kurnool",37,518217,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Proddatur","Cuddapah",37,516360,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Guntur","Guntur",37,522004,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"NA","Guntur",37,522201,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Visakhapatnam (Rural)","Visakhapatnam",37,530048,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Repalle","Guntur",37,522265,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Chodavaram","Visakhapatnam",37,531036,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Visakhapatnam (Urban)","Visakhapatnam",37,530016,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Visakhapatnam (Urban)","Visakhapatnam",37,530020,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Visakhapatnam (Urban)","Visakhapatnam",37,530017,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Visakhapatnam (Urban)","Visakhapatnam",37,530002,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Paravada","Visakhapatnam",37,531019,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"NA","Visakhapatnam",37,530052,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Pendurthi","Visakhapatnam",37,530051,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Visakhapatnam (Rural)","Visakhapatnam",37,530049,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Tadpatri","Ananthapur",37,515413,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"NA","Ananthapur",37,515722,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Etcherla","Srikakulam",37,532410,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Denkada","Vizianagaram",37,535006,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518007,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Allagadda","Kurnool",37,518674,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Chapad","Cuddapah",37,516356,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Proddatur","Cuddapah",37,516360,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Cuddapah","Cuddapah",37,516002,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Hindupur","Ananthapur",37,515202,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Puttaparthi","Ananthapur",37,515134,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Guntur","Guntur",37,522005,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Denkada","Vizianagaram",37,535213,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Bapatla","Guntur",37,522102,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Visakhapatnam","Visakhapatnam",37,530003,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Visakhapatnam","Visakhapatnam",37,530003,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Visakhapatnam","Visakhapatnam",37,530003,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Visakhapatnam","Visakhapatnam",37,530003,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Visakhapatnam","Visakhapatnam",37,530001,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Visakhapatnam","Visakhapatnam",37,530022,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Visakhapatnam","Visakhapatnam",37,530002,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Visakhapatnam","Visakhapatnam",37,530001,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Visakhapatnam","Visakhapatnam",37,530004,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Visakhapatnam","Visakhapatnam",37,530016,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Visakhapatnam","Visakhapatnam",37,530012,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Visakhapatnam","Visakhapatnam",37,530004,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Visakhapatnam","Visakhapatnam",37,530008,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Visakhapatnam","Visakhapatnam",37,530009,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Visakhapatnam","Visakhapatnam",37,530007,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Visakhapatnam","Visakhapatnam",37,530005,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Visakhapatnam","Visakhapatnam",37,530014,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Visakhapatnam","Visakhapatnam",37,530032,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"A.Konduru","Krishna",37,521226,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Visakhapatnam","Visakhapatnam",37,530002,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Nuzvid","Krishna",37,521202,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Visakhapatnam Rural","Visakhapatnam",37,530009,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Tuggali","Kurnool",37,518349,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Jiyyammavalsa","Vizianagaram",37,535594,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Nuzvid","Krishna",37,521201,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Srikalahasti","Chittoor",37,517645,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Nellore","Nellore",37,524002,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Puttaparthy","Ananthapur",37,515134,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Penamaluru Mandal","Krishna",37,521134,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Medikonduru","Guntur",37,522009,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Tekkali Mandal","Srikakulam",37,532203,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Gajuwaka","Visakhapatnam",37,530053,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Amadalavalasa","Srikakulam",37,532186,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Addatigala","East Godavari",37,533428,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Tuni","East Godavari",37,533401,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Sankhavaram","East Godavari",37,533406,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Gollaprolu","East Godavari",37,533449,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Prathipadu","East Godavari",37,533430,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Gollaprolu","East Godavari",37,533445,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Jaggampeta","East Godavari",37,533435,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kirlampudi","East Godavari",37,533431,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kotananduru","East Godavari",37,533407,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kothapalli","East Godavari",37,533447,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Pithapuram","East Godavari",37,533450,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Pithapuram","East Godavari",37,533433,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Peddapuram","East Godavari",37,533437,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Peddapuram","East Godavari",37,533437,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Pithapuram","East Godavari",37,533450,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Pithapuram","East Godavari",37,533450,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Prathipadu","East Godavari",37,533432,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Rajavommangi","East Godavari",37,533436,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Rangampeta","East Godavari",37,533291,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Samalkota","East Godavari",37,533440,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Samalkota","East Godavari",37,533440,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Sankhavaram","East Godavari",37,533446,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Thondangi","East Godavari",37,533408,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Tuni","East Godavari",37,533401,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Tuni","East Godavari",37,533401,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kothapalli","East Godavari",37,533448,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Samalkot","East Godavari",37,533434,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Yeleswaram","East Godavari",37,533429,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Y Ramavaram","East Godavari",37,533483,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kakinada (Urban)","East Godavari",37,533005,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kakinada (Urban)","East Godavari",37,533005,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kakinada (Urban)","East Godavari",37,533003,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kakinada (Urban)","East Godavari",37,533002,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Tallarevu","East Godavari",37,533461,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kakinada (Urban)","East Godavari",37,533003,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kakinada (Urban)","East Godavari",37,533004,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kakinada (Urban)","East Godavari",37,533001,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kajuluru","East Godavari",37,533468,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Y Ramavaram","East Godavari",37,533348,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Yatapaka","East Godavari",37,533351,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Chintoor Mandal","East Godavari",37,533347,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Yatapaka","East Godavari",37,533352,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Durgi","Guntur",37,522612,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ipuru","Guntur",37,522658,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Karempudi","Guntur",37,522614,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Narasaraopet","Guntur",37,522647,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vinukonda","Guntur",37,522661,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Narasaraopet","Guntur",37,522601,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Nekarikallu","Guntur",37,522615,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Narasaraopet","Guntur",37,522601,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Narasaraopet","Guntur",37,522647,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Nuzendla","Guntur",37,522660,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Narasaraopet","Guntur",37,522649,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Phirangipuram","Guntur",37,522529,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Narasaraopet","Guntur",37,522601,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Narasaraopet","Guntur",37,522603,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Rompicherla","Guntur",37,522617,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Nadendla","Guntur",37,522549,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Nuzendla","Guntur",37,522659,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Savalyapuram","Guntur",37,522646,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vinukonda","Guntur",37,522657,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vinukonda","Guntur",37,522647,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Narasaraopet","Guntur",37,522616,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Edlapadu","Guntur",37,522233,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Nadendla","Guntur",37,522619,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Chilakaluripet","Guntur",37,522611,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Narasaraopet","Guntur",37,522616,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Chilakaluripet","Guntur",37,522626,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Nadendla","Guntur",37,522234,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Narasaraopet","Guntur",37,522616,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Atchampet","Guntur",37,522409,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Bellamkonda","Guntur",37,522411,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Sattenapalle","Guntur",37,522437,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Dachepalle","Guntur",37,522414,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Sattenapalle","Guntur",37,522403,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Gurazalla","Guntur",37,522415,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krosuru","Guntur",37,522410,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Macherla","Guntur",37,522426,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Sattenapalle","Guntur",37,522435,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Medikonduru","Guntur",37,522438,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Muppalla","Guntur",37,522408,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Pedakurapadu","Guntur",37,522436,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Pedakurpadu","Guntur",37,522402,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Piduguralla","Guntur",37,522413,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Narasaraopet","Guntur",37,522426,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Rajupalem","Guntur",37,522412,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Rentachintala","Guntur",37,522421,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Medikonduru","Guntur",37,522401,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Veldurthy","Guntur",37,522613,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Macherla","Guntur",37,522439,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kanigiri","Prakasam",37,523111,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kanigiri","Prakasam",37,523117,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kanigiri","Prakasam",37,523228,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kanigiri","Prakasam",37,523230,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kanigiri","Prakasam",37,523252,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kanigiri","Prakasam",37,523254,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kanigiri","Prakasam",37,523253,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kanigiri","Prakasam",37,523224,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ongole","Prakasam",37,523201,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ongole","Prakasam",37,523001,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ongole","Prakasam",37,523180,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ongole","Prakasam",37,523226,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ongole","Prakasam",37,523001,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ongole","Prakasam",37,523280,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ongole","Prakasam",37,523001,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ongole","Prakasam",37,523182,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ongole","Prakasam",37,523303,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"NA","Prakasam",37,523171,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Chirala","Prakasam",37,523155,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Chirala","Prakasam",37,523135,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Chirala","Prakasam",37,523157,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Chirala","Prakasam",37,523190,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Chirala","Prakasam",37,523167,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Chirala","Prakasam",37,523166,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Chirala","Prakasam",37,523165,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Chirala","Prakasam",37,523181,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Chirala","Prakasam",37,523168,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Chirala","Prakasam",37,523156,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Chirala","Prakasam",37,523184,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Chirala","Prakasam",37,523169,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Chirala","Prakasam",37,523157,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Chirala","Prakasam",37,523157,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Chirala","Prakasam",37,523157,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vetapalem","Prakasam",37,523187,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Chirala","Prakasam",37,523155,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Chirala","Prakasam",37,523185,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Chirala","Prakasam",37,523170,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Chirala","Prakasam",37,523187,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kandukur","Prakasam",37,523281,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kandukur","Prakasam",37,523271,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kandukur","Prakasam",37,523105,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kandukur","Prakasam",37,523105,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kandukur","Prakasam",37,523270,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kandukur","Prakasam",37,523114,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kandukur","Prakasam",37,523115,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kandukur","Prakasam",37,523273,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kandukur","Prakasam",37,523113,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kandukur","Prakasam",37,523109,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kandukur","Prakasam",37,523291,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kandukur","Prakasam",37,523101,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kandukur","Prakasam",37,523274,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Tangutur","Prakasam",37,523274,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kandukur","Prakasam",37,523292,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kandukur","Prakasam",37,523279,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kandukur","Prakasam",37,523116,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kandukur","Prakasam",37,523104,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kanigiri","Prakasam",37,523110,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kanigiri","Prakasam",37,523112,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kanigiri","Prakasam",37,523247,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kanigiri","Prakasam",37,523246,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kanigiri","Prakasam",37,523227,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kanigiri","Prakasam",37,523241,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kanigiri","Prakasam",37,523304,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kanigiri","Prakasam",37,523223,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kanigiri","Prakasam",37,523265,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kanigiri","Prakasam",37,523108,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kanigiri","Prakasam",37,523245,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ongole","Prakasam",37,523286,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ongole","Prakasam",37,523002,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ongole","Prakasam",37,523002,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ongole","Prakasam",37,523211,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ongole","Prakasam",37,523002,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ongole","Prakasam",37,523301,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ongole","Prakasam",37,523212,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ongole","Prakasam",37,523261,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ongole","Prakasam",37,523001,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ongole","Prakasam",37,523183,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ongole","Prakasam",37,523001,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ongole","Prakasam",37,523001,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ongole","Prakasam",37,523001,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ongole","Prakasam",37,523213,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ongole","Prakasam",37,523302,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ongole","Prakasam",37,523225,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ongole","Prakasam",37,523001,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ongole","Prakasam",37,523001,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ongole","Prakasam",37,523264,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ongole","Prakasam",37,523263,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ongole","Prakasam",37,523262,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ongole","Prakasam",37,523001,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ongole","Prakasam",37,523186,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ongole","Prakasam",37,523260,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Rajahmundry (Urban)","East Godavari",37,533101,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Rajahmundry (Urban)","East Godavari",37,533104,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Rajahmundry (Urban)","East Godavari",37,533103,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Devipatnam","East Godavari",37,533339,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Korukonda","East Godavari",37,533292,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"NA","East Godavari",37,533125,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Rajahmundry (Urban)","East Godavari",37,533101,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Gokavaram","East Godavari",37,533286,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Rajahmundry (Urban)","East Godavari",37,533105,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Rajahmundry Rural","East Godavari",37,533124,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kadiyam","East Godavari",37,533126,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Korukonda","East Godavari",37,533289,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Korukonda","East Godavari",37,533290,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Maredumilli","East Godavari",37,533295,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Rajahmundry (Urban)","East Godavari",37,533106,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Rajanagaram","East Godavari",37,533294,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Rampachodavaram","East Godavari",37,533288,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Rajahmundry (Urban)","East Godavari",37,533103,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Rajahmundry (Urban)","East Godavari",37,533105,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Sithanagaram","East Godavari",37,533287,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Rajahmundry (Urban)","East Godavari",37,533106,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Rajahmundry (Urban)","East Godavari",37,533105,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Rajahmundry (Urban)","East Godavari",37,533103,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Rajahmundry (Urban)","East Godavari",37,533101,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Rajahmundry Rural","East Godavari",37,533293,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Rajahmundry (Urban)","East Godavari",37,533105,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Rajahmundry (Urban)","East Godavari",37,533101,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Rajahmundry (Urban)","East Godavari",37,533105,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Bikkavolu","East Godavari",37,533343,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Rayavaram","East Godavari",37,533261,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Pamarru","East Godavari",37,533263,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ramachandrapuram","East Godavari",37,533262,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Pamarru","East Godavari",37,533306,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Pamarru","East Godavari",37,533305,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Bikkavolu","East Godavari",37,533345,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ramachandrapuram","East Godavari",37,533256,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Rayavaram","East Godavari",37,533346,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ramachandrapuram","East Godavari",37,533262,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Alamuru","East Godavari",37,533233,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Anaparthy","East Godavari",37,533342,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kapileswarapuram","East Godavari",37,533307,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Alamuru","East Godavari",37,533232,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Mandapeta","East Godavari",37,533341,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kapileswarapuram","East Godavari",37,533309,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Anaparthy","East Godavari",37,533264,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Mandapeta","East Godavari",37,533308,"2018-06-30 22:47:43","2018-06-30 22:47:43"
